,T1A1_1,T1A1_2,T1B1_1,T1B1_2,T1B1_3,T1C1_1,T1C1_2,T1D1_1,T1D1_2,T1D1_3,T1D1_4,T1D1_5,T1E1_1,T1E1_2,T1E1_3,T1E1_4,T1F1,T2A1_1,T2A1_2,T2A1_3,T2A1_4,T2A1_5,T2A1_6,T2B1_1,T2B1_2,T2B1_3,T2B1_4,T2B1_5,T2B1_6,T2B1_7,T2C1_1,T2C1_2,T2C1_3,T2C1_4,T2F1,T3C1,T3C2,T3C3,T3C4,T3C5,T3C6,T3B1_1,T3B1_2,T3B1_3,T3B1_4,T3B1_5,T3B1_6,T3D1,T3D2,T3D3,T3D4,T3D5,T3A1,T3A2,T3A3,T3A4,T3F1,T4F1,T5F1_1,T5F1_2,T5F1_3,T5F1_4,T5F1_5,T5F2,T5F3_1,T5F3_2,T5F3_3,T5F3_4,T5F3_5,T5F3_6,T5F3_7,T5F3_8,T5F3_9,T5F3_10,T5F3_11,T5F3_12,T5F3_13,T5F3_14,T5F3_15,T5F3_16,T5F4#1_1,T5F4#1_2,T5F4#1_3,T5F4#1_4,T5F4#1_5,T5F4#1_6,T5F4#1_7,T5F4#1_8,T5F4#1_9,T5F4#1_10,T5F4#1_11,T5F4#1_12,T5F4#1_13,T5F4#1_14,T5F4#1_15,T5F4#1_16,T5F4#2_1,T5F4#2_2,T5F4#2_3,T5F4#2_4,T5F4#2_5,T5F4#2_6,T5F4#2_7,T5F4#2_8,T5F4#2_9,T5F4#2_10,T5F4#2_11,T5F4#2_12,T5F4#2_13,T5F4#2_14,T5F4#2_15,T5F4#2_16,TUnnamed: 145
1,7,6,7,6,5,6.0,6,2,3,6,4.0,4,7,7,7,7.0,7,6,6,7,6,6,5.0,7,6,5,6.0,6.0,6,6.0,7,6.0,6.0,7.0,6,5,7,5,6,5,6,7.0,6,7,7,7,7,7,7.0,7.0,6,7,6,6.0,6.0,7,6,6,7.0,7.0,5.0,7.0,5.0,5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,In-Person
3,3,3,5,4,2,6.0,2,5,5,3,1.0,7,3,2,2,2.0,3,2,2,7,2,2,4.0,2,5,6,3.0,2.0,2,6.0,5,4.0,6.0,7.0,2,4,5,2,2,2,2,6.0,5,4,6,2,2,2,2.0,2.0,6,6,2,2.0,2.0,2,2,3,6.0,6.0,6.0,4.0,5.0,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,In-Person
4,7,6,7,6,6,6.0,6,6,4,5,6.0,7,6,7,6,6.0,6,6,6,6,6,6,6.0,7,7,6,6.0,7.0,6,5.0,6,7.0,6.0,7.0,6,4,6,6,7,6,6,6.0,6,6,6,7,6,5,7.0,6.0,5,6,6,6.0,6.0,6,6,6,5.0,5.0,5.0,5.0,5.0,5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,In-Person
5,7,6,7,7,6,6.0,6,6,4,5,5.0,5,5,3,4,3.0,5,6,6,5,5,4,6.0,2,2,2,6.0,5.0,6,3.0,5,5.0,6.0,7.0,5,3,3,6,5,5,5,6.0,6,5,4,5,5,3,5.0,5.0,5,6,3,3.0,3.0,5,3,3,5.0,7.0,5.0,7.0,5.0,4,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,In-Person
6,6,7,7,7,3,6.0,6,5,5,3,7.0,6,6,6,6,6.0,6,6,6,6,6,6,6.0,6,5,3,5.0,6.0,4,4.0,6,6.0,6.0,7.0,6,4,7,6,6,5,6,6.0,6,6,7,7,6,6,7.0,6.0,5,6,6,6.0,6.0,6,6,6,7.0,7.0,7.0,5.0,5.0,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,In-Person
7,6,6,6,6,4,6.0,5,6,6,6,6.0,6,6,6,6,6.0,5,4,6,6,5,5,5.0,6,6,4,4.0,6.0,5,4.0,6,6.0,6.0,6.0,5,6,5,5,5,5,5,5.0,5,6,6,6,5,5,6.0,5.0,5,6,6,6.0,5.0,6,5,5,7.0,6.0,7.0,6.0,5.0,5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,In-Person
8,6,7,6,7,5,6.0,6,5,5,6,6.0,7,7,4,6,6.0,6,6,4,6,5,5,5.0,6,6,6,6.0,6.0,6,6.0,6,6.0,5.0,6.0,6,6,6,5,6,5,6,5.0,6,6,4,5,5,7,7.0,6.0,4,6,5,5.0,6.0,6,6,6,5.0,5.0,7.0,7.0,5.0,5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,In-Person
9,6,6,6,6,6,6.0,6,6,6,5,7.0,6,6,6,5,6.0,6,5,5,6,6,6,5.0,6,6,5,5.0,5.0,5,5.0,6,6.0,4.0,6.0,6,6,6,6,5,5,5,3.0,5,5,5,6,6,3,6.0,5.0,6,7,5,6.0,6.0,5,6,6,6.0,6.0,5.0,5.0,5.0,5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,In-Person
10,7,7,7,7,3,6.0,6,5,6,4,6.0,6,6,6,5,6.0,6,7,6,7,6,6,5.0,6,6,5,6.0,6.0,4,4.0,7,6.0,4.0,7.0,6,4,6,5,6,6,5,5.0,6,6,6,6,6,6,6.0,6.0,6,7,7,6.0,6.0,7,6,6,7.0,7.0,6.0,6.0,5.0,5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,In-Person
11,6,7,6,6,6,5.0,5,6,6,6,7.0,6,6,6,6,6.0,5,6,6,6,6,5,5.0,5,6,7,6.0,6.0,5,6.0,6,6.0,6.0,7.0,6,6,7,6,6,6,5,7.0,7,7,6,7,7,7,7.0,5.0,7,6,5,6.0,7.0,7,6,6,7.0,5.0,5.0,5.0,5.0,5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,In-Person
